t,max_h,M_s
5600.0,-3.6812455268467748,2400.0
5620.0,-3.797790955218012,2378.0
5640.0,-3.913736668372026,2350.0
5660.0,-4.029064357136625,2334.0
5680.0,-4.143755809932841,2312.0
5700.0,-4.257792915650723,2292.0
5720.0,-4.371157666509331,2292.0
5740.0,-4.483832160900325,2264.0
5760.0,-4.595798606214878,2258.0
5780.0,-4.707039321653326,2222.0
5800.0,-4.81753674101715,2174.0
5820.0,-4.92727341548291,2228.0
5840.0,-5.036232016357611,2170.0
5860.0,-5.144395337815064,2110.0
5880.0,-5.251746299612954,2146.0
5900.0,-5.358267949789965,2072.0
5920.0,-5.463943467342686,2074.0
5940.0,-5.568756164881879,2066.0
5960.0,-5.672689491267565,1968.0
5980.0,-5.775727034222674,1980.0
6000.0,-5.87785252292473,1926.0
6020.0,-5.979049830575185,1914.0
6040.0,-6.0793029769460505,1890.0
6060.0,-6.178596130903344,1878.0
6080.0,-6.276913612907004,1824.0
6100.0,-6.374239897486897,1802.0
6120.0,-6.47055961569444,1748.0
6140.0,-6.5658575575295615,1718.0
6160.0,-6.660118674342518,1700.0
6180.0,-6.753328081210244,1672.0
6200.0,-6.845471059286887,1616.0
6220.0,-6.936533058128047,1614.0
6240.0,-7.026499697988491,1580.0
6260.0,-7.11535677209285,1552.0
6280.0,-7.20309024887907,1452.0
6300.0,-7.289686274214116,1464.0
6320.0,-7.375131173581737,1422.0
6340.0,-7.459411454241821,1416.0
6360.0,-7.542513807361035,1424.0
6380.0,-7.624425110114479,1336.0
6400.0,-7.705132427757894,1366.0
6420.0,-7.784623015670236,1310.0
6440.0,-7.862884321366186,1270.0
6460.0,-7.939903986478351,1270.0
6480.0,-8.015669848708765,1166.0
6500.0,-8.090169943749473,1154.0
6520.0,-8.163392507171839,1176.0
6540.0,-8.235325976284274,1134.0
6560.0,-8.305958991958121,1104.0
6580.0,-8.375280400421413,1048.0
6600.0,-8.443279255020153,1026.0
6620.0,-8.509944817946916,1030.0
6640.0,-8.575266561936521,1032.0
6660.0,-8.63923417192835,958.0
6680.0,-8.701837546695256,902.0
6700.0,-8.763066800438637,942.0
6720.0,-8.822912264349533,902.0
6740.0,-8.881364488135446,820.0
6760.0,-8.938414241512636,718.0
6780.0,-8.994052515663709,776.0
6800.0,-9.048270524660193,790.0
6820.0,-9.101059706849956,844.0
6840.0,-9.152411726209175,822.0
6860.0,-9.202318473658703,708.0
6880.0,-9.250772068344581,608.0
6900.0,-9.29776485888251,634.0
6920.0,-9.343289424566121,636.0
6940.0,-9.387338576538742,584.0
6960.0,-9.429905358928643,612.0
6980.0,-9.470983049947442,598.0
7000.0,-9.510565162951535,550.0
7020.0,-9.548645447466429,536.0
7040.0,-9.585217890173759,572.0
7060.0,-9.620276715860859,620.0
7080.0,-9.65381638833274,610.0
7100.0,-9.685831611286309,508.0
7120.0,-9.716317329146738,454.0
7140.0,-9.745268727865772,474.0
7160.0,-9.772681235681933,402.0
7180.0,-9.798550523842469,426.0
7200.0,-9.822872507286887,418.0
7220.0,-9.845643345292052,390.0
7240.0,-9.86685944207868,450.0
7260.0,-9.886517447379141,364.0
7280.0,-9.904614256966513,360.0
7300.0,-9.921147013144777,402.0
7320.0,-9.936113105200084,392.0
7340.0,-9.949510169813001,410.0
7360.0,-9.961336091431725,496.0
7380.0,-9.97158900260614,502.0
7400.0,-9.980267284282716,484.0
7420.0,-9.987369566060174,520.0
7440.0,-9.992894726405892,376.0
7460.0,-9.996841892833,502.0
7480.0,-9.99921044203816,596.0
7500.0,-10.0,550.0
7520.0,-9.99921044203816,524.0
7540.0,-9.996841892833,536.0
7560.0,-9.992894726405893,572.0
7580.0,-9.987369566060174,586.0
7600.0,-9.980267284282716,520.0
7620.0,-9.97158900260614,454.0
7640.0,-9.961336091431725,464.0
7660.0,-9.949510169813001,488.0
7680.0,-9.936113105200084,504.0
7700.0,-9.921147013144779,542.0
7720.0,-9.904614256966513,514.0
7740.0,-9.88651744737914,598.0
7760.0,-9.866859442078681,588.0
7780.0,-9.845643345292054,566.0
