i,j,r,pot,Fieldx,Fieldy
1,41,28.600699292150182,0.003313888496260125,0.0033153014416938114,0.00046940362267731527
1,42,29.206163733020468,0.0028430864687813656,0.002843975036246995,0.00047167857591463836
1,43,29.832867780352597,0.0023705313444308484,0.002371042995976525,0.00047305722930724597
1,44,30.479501308256342,0.0018969720101668737,0.0018972310371265623,0.0004738112284981207
1,45,31.144823004794873,0.001422908887434607,0.0014230153273357884,0.0004741647764527797
1,46,31.827660925679098,0.0009486424572613143,0.0009486715500130462,0.0004742930078818081
1,47,32.526911934581186,0.0004743228716709908,0.000474324841391352,0.00047432122863065715
1,48,33.24154027718932,0.0,0.0,0.0002371614358354954
2,0,32.55764119219941,0.0,0.0,-0.00047418694708905364
2,1,31.827660925679098,0.0009483738941781073,0.0004741726150434585,-0.0009484091923687995
2,2,31.11269837220809,0.001896818384737599,0.0009484552638626389,-0.0009484552638626394
2,3,30.4138126514911,0.002845284421903386,0.0014228986813778991,-0.0009483518487615224
2,4,29.732137494637012,0.0037935220822606437,0.0018974531147900992,-0.0009478478650767352
2,5,29.068883707497267,0.004740980152056856,0.002371917679322084,-0.0009465920868852267
2,6,28.42534080710379,0.005686706256031097,0.0028458894968684204,-0.000944134290329867
2,7,27.80287754891569,0.0066292487327165904,0.0033187130604352653,-0.0009399280340390394
2,8,27.202941017470888,0.007566562324109176,0.0037894307180903466,-0.0009333360366410759
2,9,26.627053911388696,0.008495920805998742,0.004256735735836126,-0.000923639282162869
2,10,26.076809620810597,0.009413840888434914,0.004718930063919562,-0.0009100510875253995
2,11,25.553864678361276,0.010316022981049541,0.005173889663622552,-0.0008917373617739364
2,12,25.059928172283335,0.011197315611982787,0.0056190409901047764,-0.0008678441211473166
2,13,24.596747752497688,0.012051711223344174,0.006051352876997264,-0.0008375329403306131
2,14,24.166091947189145,0.012872381492644013,0.006467348495270147,-0.0008000243685384305
2,15,23.769728648009426,0.013651759960421036,0.0068631420911826595,-0.0007546483921507729
2,16,23.40939982143925,0.014381678276945559,0.007234504650838177,-0.0007008998050244703
2,17,23.08679276123039,0.015053559570469976,0.0075769613068081484,-0.0006384949472391117
2,18,22.80350850198276,0.015658668171423782,0.007885921068311364,-0.000567424876620576
2,19,22.561028345356956,0.016188409323711128,0.008156836320136005,-0.0004879989235049547
2,20,22.360679774997898,0.01663466601843369,0.008385385693422984,-0.000400872088181254
2,21,22.20360331117452,0.016990153500073636,0.008567669805951552,-0.0003070502065862929
2,22,22.090722034374522,0.017248766431606277,0.008700405683382779,-0.00020786845529358056
2,23,22.02271554554524,0.017405890410660797,0.008781103240269893,-0.00010494158518637928
2,24,22.0,0.017458649601979036,0.008808206814311412,-8.794138460672951e-08
2,25,22.02271554554524,0.01740606629343001,0.008781186909109631,0.00010476679360020905
2,26,22.090722034374522,0.017249116014778618,0.008700571982847748,0.00020769693081188444
2,27,22.20360331117452,0.016990672431806242,0.008567916665819374,0.00030688410588899755
2,28,22.360679774997898,0.016635347803000623,0.008385710023653323,0.00040071353614211033
2,29,22.561028345356956,0.01618924535952202,0.008157234028927455,0.00048785000069127143
2,30,22.80350850198276,0.01565964780161808,0.007886387086110995,0.0005672876067508619
2,31,23.08679276123039,0.015054670146020297,0.007577489616345509,0.0006383712849540799
2,32,23.40939982143925,0.01438290523170992,0.007235088322890095,0.0007007916241212322
2,33,23.769728648009426,0.013653086897777833,0.006863773325754769,0.0007545574740393905
2,34,24.166091947189145,0.012873790283631139,0.0064680186682584215,0.00079995239089141
2,35,24.596747752497688,0.012053182115995013,0.006052052592208304,0.0008374814662141369
2,36,25.059928172283335,0.011198827351202865,0.005619760136297825,0.0008678145887858662
2,37,25.553864678361276,0.01031755293842328,0.005174617476315745,0.0008917310747057084
2,38,26.076809620810597,0.009415365201791448,0.0047196551917612,0.0009100692051963594
2,39,26.627053911388696,0.008497414528030562,0.004257446311234462,0.0009236828111021476
2,40,27.202941017470888,0.007567999579587153,0.003790114431933514,0.0009334058223214696
2,41,27.80287754891569,0.006630602883387623,0.0033193572405921076,0.0009400247535465817
2,42,28.42534080710379,0.00568795007249399,0.002846481190072022,0.0009442584457172863
2,43,29.068883707497267,0.00474208599195305,0.0023724437359650633,0.0009467439991204325
2,44,29.732137494637012,0.0037944620742531247,0.0018979002763800505,0.0009480276686407367
2,45,30.4138126514911,0.0028460306546715768,0.001423253670294328,0.0009485594871135162
2,46,31.11269837220809,0.0018973431000260923,0.0009487048751822495,0.0009486904859444364
2,47,31.827660925679098,0.000948649682782704,0.00047430380991549435,0.0009486715500130462
2,48,32.55764119219941,0.0,0.0,0.000474324841391352
3,0,31.89043743820395,0.0,0.0,-0.0007112634729360752
3,1,31.144823004794873,0.0014225269458721505,0.00047405850164712436,-0.0014226422109516954
3,2,30.4138126514911,0.0028452844219033907,0.0009483518487615193,-0.0014228986813778993
3,3,29.698484809834994,0.004268324308627949,0.0014230563525745828,-0.0014230563525745848
3,4,29.0,0.00569139712705256,0.0018982481128292765,-0.0014227381981634078
3,5,28.319604517012593,0.007113800704954765,0.0023738518284090273,-0.0014214158586402844
3,6,27.65863337187866,0.008534228844333129,0.002849588567118022,-0.001418410411037475
3,7,27.018512172212592,0.009950621527029715,0.0033249226626979266,-0.0014128953403546541
3,8,26.40075756488817,0.011360019525042437,0.0037990083787042194,-0.001403903200829137
3,9,25.80697580112788,0.012758427928687989,0.004270637594384649,-0.0013903377455025921
3,10,25.238858928247925,0.014140695016047622,0.004738190530441861,-0.0013709935110748916
3,11,24.698178070456937,0.015500414950837772,0.005199592424293228,-0.001344584903350256
3,12,24.186773244895647,0.016829864822748133,0.0056522800404578445,-0.0013097866507421037
3,13,23.706539182259394,0.01811998825232198,0.00609318286917178,-0.0012652869792819463
3,14,23.259406699226016,0.019360438781312026,0.006518724678824033,-0.0012098539145522069
3,15,22.847319317591726,0.020539696081426393,0.006924851530468948,-0.0011424136665957752
3,16,22.47220505424423,0.021645266114503577,0.007307092168220283,-0.0010621381043557174
3,17,22.135943621178654,0.022663972290137828,0.007660655566851465,-0.0009685359948985884
3,18,21.840329667841555,0.023582338104300753,0.00798056808462109,-0.0008615402457573529
