time,f
307,-275.46331066971504
308,-275.4639929174512
309,-275.46467093866926
310,-275.4653447716913
311,-275.46601445435965
312,-275.46668002404436
313,-275.4673415176509
314,-275.46799897162725
315,-275.468652421972
316,-275.46930190424087
317,-275.4699474535537
318,-275.4705891046017
319,-275.47122689165394
320,-275.47186084856423
321,-275.4724910087773
322,-275.47311740533553
323,-275.4737400708846
324,-275.47435903768053
325,-275.474974337595
326,-275.47558600212113
327,-275.47619406238016
328,-275.47679854912633
329,-275.4773994927526
330,-275.4779969232964
331,-275.4785908704448
332,-275.47918136353985
333,-275.47976843158364
334,-275.4803521032437
335,-275.4809324068576
336,-275.4815093704382
337,-275.482083021678
338,-275.48265338795466
339,-275.48322049633464
340,-275.4837843735786
341,-275.48434504614545
342,-275.4849025401967
343,-275.4854568816011
344,-275.4860080959387
345,-275.48655620850496
346,-275.4871012443148
347,-275.4876432281068
348,-275.4881821843472
349,-275.4887181372334
350,-275.4892511106982
351,-275.48978112841326
352,-275.490308213793
353,-275.4908323899981
354,-275.491353679939
355,-275.4918721062794
356,-275.49238769144
357,-275.4929004576014
358,-275.4934104267079
359,-275.49391762047014
360,-275.4944220603691
361,-275.4949237676587
362,-275.4954227633689
363,-275.49591906830904
364,-275.49641270307075
365,-275.49690368803067
366,-275.49739204335367
367,-275.49787778899565
368,-275.49836094470595
369,-275.4988415300305
370,-275.49931956431476
371,-275.49979506670564
372,-275.5002680561549
373,-275.50073855142114
374,-275.5012065710727
375,-275.50167213349016
376,-275.5021352568684
377,-275.5025959592198
378,-275.50305425837564
379,-275.5035101719891
380,-275.50396371753754
381,-275.50441491232453
382,-275.5048637734822
383,-275.50531031797345
384,-275.50575456259395
385,-275.5061965239747
386,-275.5066362185836
387,-275.50707366272775
388,-275.5075088725557
389,-275.50794186405903
390,-275.5083726530745
391,-275.50880125528613
392,-275.50922768622706
393,-275.5096519612811
394,-275.51007409568507
395,-275.51049410453027
396,-275.51091200276454
397,-275.5113278051937
398,-275.51174152648355
399,-275.5121531811616
400,-275.5125627836185
401,-275.51297034811
402,-275.5133758887585
403,-275.5137794195545
404,-275.5141809543584
405,-275.51458050690184
406,-275.51497809078967
407,-275.5153737195009
408,-275.5157674063905
409,-275.5161591646912
410,-275.5165490075142
411,-275.51693694785115
412,-275.51732299857554
413,-275.5177071724438
414,-275.51808948209685
415,-275.51846994006166
416,-275.518848558752
417,-275.5192253504705
418,-275.51960032740936
419,-275.51997350165186
420,-275.52034488517353
421,-275.52071448984356
422,-275.5210823274258
423,-275.5214484095802
424,-275.52181274786375
425,-275.5221753537319
426,-275.5225362385394
427,-275.5228954135418
428,-275.52325288989636
429,-275.5236086786631
430,-275.523962790806
431,-275.5243152371943
432,-275.52466602860306
433,-275.52501517571454
434,-275.5253626891192
435,-275.52570857931664
436,-275.52605285671666
437,-275.5263955316403
438,-275.52673661432067
439,-275.52707611490393
440,-275.5274140434506
441,-275.52775040993595
442,-275.52808522425113
443,-275.5284184962044
444,-275.5287502355215
445,-275.52908045184705
446,-275.52940915474494
447,-275.5297363536997
448,-275.53006205811687
449,-275.53038627732406
450,-275.530709020572
451,-275.53103029703493
452,-275.5313501158117
453,-275.5316684859265
454,-275.53198541632975
455,-275.53230091589853
456,-275.53261499343773
457,-275.5329276576806
458,-275.5332389172898
459,-275.5335487808576
460,-275.53385725690697
461,-275.5341643538924
462,-275.5344700802003
463,-275.53477444415
464,-275.53507745399406
465,-275.53537911791943
466,-275.5356794440477
467,-275.5359784404361
468,-275.53627611507795
469,-275.53657247590337
470,-275.5368675307799
471,-275.53716128751313
472,-275.53745375384744
473,-275.53774493746636
474,-275.53803484599354
475,-275.5383234869931
476,-275.5386108679702
477,-275.5388969963718
478,-275.5391818795871
479,-275.53946552494824
480,-275.53974793973066
481,-275.5400291311539
482,-275.54030910638204
483,-275.5405878725241
484,-275.54086543663504
485,-275.5411418057156
486,-275.54141698671344
487,-275.54169098652346
488,-275.54196381198807
489,-275.5422354698981
490,-275.5425059669931
491,-275.5427753099616
492,-275.54304350544214
493,-275.54331056002326
494,-275.5435764802443
495,-275.5438412725958
496,-275.5441049435195
497,-275.5443674994099
498,-275.5446289466132
499,-275.5448892914294
500,-275.54514854011137
501,-275.545406698866
502,-275.54566377385447
503,-275.54591977119276
504,-275.5461746969519
505,-275.5464285571585
506,-275.5466813577953
507,-275.54693310480116
508,-275.547183804072
509,-275.54743346146086
510,-275.54768208277824
511,-275.54792967379285
512,-275.54817624023156
513,-275.54842178778006
514,-275.54866632208336
515,-275.5489098487458
516,-275.5491523733314
517,-275.549393901365
518,-275.54963443833145
519,-275.5498739896769
520,-275.55011256080866
521,-275.5503501570958
522,-275.55058678386933
523,-275.55082244642267
524,-275.55105715001196
525,-275.5512908998562
526,-275.5515237011379
527,-275.55175555900325
528,-275.5519864785623
