i,j,phi,Ex,Ey
4,16,0.0006499905743448582,-3.8477335956550534e-05,-0.0001730647733805011
4,17,0.0006873084139622743,-3.581484414033918e-05,-0.00018377696320669325
4,18,0.0007216202626255365,-3.245679579459942e-05,-0.00019372283980793295
4,19,0.0007522220055514731,-2.8402354903928528e-05,-0.00020267312516104863
4,20,0.0007784249724333936,-2.368530995903621e-05,-0.00021039762296020417
4,21,0.0007995926254695455,-1.837676451489764e-05,-0.00021667870343641056
4,22,0.0008151785014631889,-1.2584562097521306e-05,-0.00022132602142693395
4,23,0.0008247617496645881,-6.448900579037386e-06,-0.00022419088887383752
4,24,0.0008280763026212636,-1.3416604887923206e-07,-0.0002251784424045959
4,25,0.0008250300817623466,6.182295749069524e-06,-0.00022425582010624125
4,26,0.0008157117111231246,1.232312656644695e-05,-0.00022145504799592122
4,27,0.0008003838286294527,1.8123902885678266e-05,-0.00021687015959950936
4,28,0.000779463905351768,2.344436473772555e-05,-0.00021064902518548345
4,29,0.0007534950991540016,2.8176582252477063e-05,-0.00020298119011051877
4,30,0.0007231107408468139,3.2249341867117334e-05,-0.00019408350812559347
4,31,0.0006889964154197669,3.56287221582084e-05,-0.0001841854289512763
4,32,0.0006518532965303971,3.831540416974479e-05,-0.00017351551890631539
4,33,0.0006123656070802773,4.0339617362877855e-05,-0.000162290301395694
4,34,0.0005711740618046414,4.175473888571495e-05,-0.00015070595820151244
4,35,0.0005288561293088474,4.263048450217104e-05,-0.00013893295453355276
4,36,0.0004859130928002993,4.3046428823841244e-05,-0.0001271133062362171
4,37,0.00044276327166116496,4.308634549310747e-05,-0.00011536001041633081
4,38,0.0003997404018140844,4.283362185561918e-05,-0.00010375809071946394
4,39,0.0003570960279499266,4.2367810932487335e-05,-9.236672962405977e-05
4,40,0.0003150047799491097,4.17622485888901e-05,-8.122203511590549e-05
4,41,0.0002735715307721464,4.108258347899916e-05,-7.034008719494576e-05
4,42,0.0002328396129911114,4.0386031513092255e-05,-5.972000947287309e-05
4,43,0.0001927994677459619,3.97211625249018e-05,-4.9346900174918965e-05
4,44,0.00015339728794130778,3.912804254031743e-05,-3.919452962136872e-05
4,45,0.00011454338266532704,3.8638580965665304e-05,-2.9227766810887156e-05
4,46,7.612012600997717e-05,3.827696135474304e-05,-1.9404737754450676e-05
4,47,3.798945995584096e-05,3.806006300498859e-05,-9.678745560818406e-06
4,48,0.0,1.899472997792048e-05,-0.0
5,0,0.0,-2.3614390729505023e-05,-0.0
5,1,4.7228781459010046e-05,-4.734801217255171e-05,-9.714816283154686e-06
5,2,9.469602434510342e-05,-4.7690078151587794e-05,-1.949541474668308e-05
5,3,0.00014260893776218563,-4.8231006163981915e-05,-2.940179860395447e-05
5,4,0.00019115803667306725,-4.8949697481137416e-05,-3.949109883548536e-05
5,5,0.00024050833272446046,-4.981593497267393e-05,-4.981593497267393e-05
5,6,0.0002907899066184151,-5.0789709644246284e-05,-6.0422512966385445e-05
5,7,0.00034208775201295303,-5.1820484816383005e-05,-7.134838078149756e-05
5,8,0.00039443087625118113,-5.284651222409425e-05,-8.261977548637889e-05
5,9,0.00044778077646114153,-5.3794355380067e-05,-9.424851976866602e-05
5,10,0.0005020195870113151,-5.457882143256905e-05,-0.00010622846634459381
5,11,0.0005569384193262796,-5.5103548862200946e-05,-0.00011853155164009751
5,12,0.000612226684735717,-5.5262536117463724e-05,-0.00013110361102837791
5,13,0.0006674634915612071,-5.494291216010005e-05,-0.0001438602300862877
5,14,0.0007221125090559171,-5.402922516462515e-05,-0.00015668305757378582
5,15,0.0007755219418904574,-5.2409437780201636e-05,-0.0001694171741548386
5,16,0.0008269313846163204,-4.998264426967045e-05,-0.00018187026964434905
5,17,0.0008754872304297983,-4.6668252702120874e-05,-0.00019381448583708963
5,18,0.0009202678900205621,-4.241601074366278e-05,-0.00020499176902058464
5,19,0.0009603192519171238,-3.721583733112924e-05,-0.00021512337467082709
5,20,0.0009946995646828206,-3.1106040292566575e-05,-0.00022392371816340245
5,21,0.001022531332502257,-2.4178279980412035e-05,-0.00023111805899858476
5,22,0.0010430561246436447,-1.657772624796361e-05,-0.00023646261915430953
5,23,0.0010556867849981842,-8.497358533269151e-06,-0.00023976485834014386
5,24,0.001060050841710183,-1.6627594124002994e-07,-0.00024090104230468955
5,25,0.0010560193368806643,8.166947282559674e-06,-0.00023982823280454792
5,26,0.0010437169471450636,1.625372139696054e-05,-0.00023658855224614544
5,27,0.0010235118940867432,2.386490091585902e-05,-0.00023130492494679563
5,28,0.0009959871453133456,3.080742945008177e-05,-0.0002241690930285314
5,29,0.0009618970351865796,3.6936030147335203e-05,-0.00021542405389377662
5,30,0.0009221150850186752,4.215890633088088e-05,-0.00020534379063598808
5,31,0.0008775792225248179,4.643758543810617e-05,-0.00019421315919541823
5,32,0.0008292399141424629,4.978195648493595e-05,-0.00018231020945114548
5,33,0.000778015309554946,5.224205371396132e-05,-0.00016989233960176538
5,34,0.0007247558067145402,5.389822634757255e-05,-0.0001571867963047754
5,35,0.0006702188568598009,5.485111436847191e-05,-0.00014438532671318344
5,36,0.0006150535779775964,5.521246802849054e-05,-0.0001316423398842188
5,37,0.0005597939208028198,5.5097432526441574e-05,-0.00011907573343470661
5,38,0.0005048587129247133,5.461855466411028e-05,-0.00010676952836638915
5,39,0.00045055681147459923,5.388149615143212e-05,-9.47775592585941e-05
5,40,0.000397095720621849,5.298226513919676e-05,-8.312762579447576e-05
5,41,0.0003445922811962057,5.200568972219056e-05,-7.182567990367909e-05
5,42,0.0002930843411774679,5.102483243011521e-05,-6.0859774048490975e-05
5,43,0.00024254261633597528,5.0101060595654335e-05,-5.020361836034647e-05
5,44,0.0001928822199861592,4.928452524593725e-05,-3.9819685241977194e-05
5,45,0.00014397356584410078,4.8614847277654835e-05,-2.9661862963207444e-05
5,46,9.565252543084954e-05,4.8121855565257186e-05,-1.967770031587549e-05
