pS_I,pR_S,I_frac
0.7,0.55,0.3364556
0.7,0.6,0.3517484
0.7,0.65,0.3621596
0.7,0.7,0.373828
0.7,0.75,0.3837476
0.7,0.8,0.3943088
0.7,0.85,0.40107719999999997
0.7,0.9,0.4084984
0.7,0.95,0.41622960000000003
0.7,1.0,0.42240320000000003
0.75,0.0,0.0
0.75,0.05,0.0
0.75,0.1,0.07661040000000001
0.75,0.15,0.1238548
0.75,0.2,0.16815519999999998
0.75,0.25,0.20647159999999998
0.75,0.3,0.2398216
0.75,0.35,0.2685036
0.75,0.4,0.2935428
0.75,0.45,0.3132956
0.75,0.5,0.3333152
0.75,0.55,0.34822759999999997
0.75,0.6,0.36336080000000004
0.75,0.65,0.3765884
0.75,0.7,0.3860316
0.75,0.75,0.3963432
0.75,0.8,0.4065744
0.75,0.85,0.41333680000000006
0.75,0.9,0.4222792
0.75,0.95,0.42885039999999996
0.75,1.0,0.43560879999999996
0.8,0.0,0.0
0.8,0.05,0.0
0.8,0.1,0.079512
0.8,0.15,0.1297208
0.8,0.2,0.1740812
0.8,0.25,0.21603000000000003
0.8,0.3,0.24812199999999998
0.8,0.35,0.2769912
0.8,0.4,0.30194319999999997
0.8,0.45,0.3240144
0.8,0.5,0.34076999999999996
0.8,0.55,0.35934879999999997
0.8,0.6,0.3716
0.8,0.65,0.38475479999999995
0.8,0.7,0.3974652
0.8,0.75,0.40731439999999997
0.8,0.8,0.4165924
0.8,0.85,0.4253792
0.8,0.9,0.4334424
0.8,0.95,0.44058680000000006
0.8,1.0,0.4484192
0.85,0.0,0.0
0.85,0.05,0.0
0.85,0.1,0.0827916
0.85,0.15,0.1328028
0.85,0.2,0.1817352
0.85,0.25,0.220702
0.85,0.3,0.2553992
0.85,0.35,0.2844832
0.85,0.4,0.3095016
0.85,0.45,0.331378
0.85,0.5,0.3489604
0.85,0.55,0.36743760000000003
0.85,0.6,0.38109560000000003
0.85,0.65,0.39568200000000003
0.85,0.7,0.406738
0.85,0.75,0.416666
0.85,0.8,0.426912
0.85,0.85,0.4348396
0.85,0.9,0.44333360000000005
0.85,0.95,0.4499276
0.85,1.0,0.4572748
0.9,0.0,0.0
0.9,0.05,0.0
0.9,0.1,0.0874944
0.9,0.15,0.1387436
0.9,0.2,0.1856952
0.9,0.25,0.2276424
0.9,0.3,0.26111039999999996
0.9,0.35,0.2909656
0.9,0.4,0.317834
0.9,0.45,0.3384656
0.9,0.5,0.35725680000000004
0.9,0.55,0.3751952
0.9,0.6,0.3903092
0.9,0.65,0.4020848
0.9,0.7,0.41489719999999997
0.9,0.75,0.42635680000000004
0.9,0.8,0.4361692
0.9,0.85,0.44427120000000003
0.9,0.9,0.45364160000000003
0.9,0.95,0.4611548
0.9,1.0,0.4666536
0.95,0.0,0.0
0.95,0.05,0.0065756
0.95,0.1,0.0884552
0.95,0.15,0.14158320000000002
0.95,0.2,0.190324
0.95,0.25,0.23068200000000003
0.95,0.3,0.26408400000000004
0.95,0.35,0.2965264
0.95,0.4,0.3224152
0.95,0.45,0.34514720000000004
0.95,0.5,0.3639004
0.95,0.55,0.3824476
0.95,0.6,0.396808
0.95,0.65,0.4097756
0.95,0.7,0.4225196
0.95,0.75,0.4343176
0.95,0.8,0.4434656
0.95,0.85,0.4534792
0.95,0.9,0.4617144
0.95,0.95,0.4687804
0.95,1.0,0.4762276
1.0,0.0,0.0
1.0,0.05,4.7199999999999995e-05
1.0,0.1,0.0915444
1.0,0.15,0.1454936
1.0,0.2,0.1947664
1.0,0.25,0.23671520000000001
1.0,0.3,0.2705192
1.0,0.35,0.3015364
1.0,0.4,0.32820479999999996
1.0,0.45,0.3502176
1.0,0.5,0.3703464
1.0,0.55,0.3886536
1.0,0.6,0.4030176
1.0,0.65,0.4177012
1.0,0.7,0.4296528
1.0,0.75,0.4401508
1.0,0.8,0.45098
1.0,0.85,0.4610716
1.0,0.9,0.46910559999999996
1.0,0.95,0.47655879999999995
1.0,1.0,0.4834656
