t,x,y
266,41.4,42.2
267,41.8,42.2
268,42.2,42.4
269,42.2,42.8
270,42.4,43.2
271,42.8,43.2
272,43.2,43.4
273,43.2,43.8
274,43.4,44.2
275,43.8,44.2
276,44.2,44.4
277,44.2,44.8
278,44.4,45.2
279,44.8,45.2
280,45.2,45.4
281,45.2,45.8
282,45.4,46.2
283,45.8,46.2
284,46.2,46.4
285,46.2,46.8
286,46.4,47.2
287,46.8,47.2
288,47.2,47.4
289,47.2,47.8
290,47.4,48.2
291,47.8,48.2
292,48.2,48.4
303,0.8,1.2
304,1.2,1.4
305,1.2,1.8
306,1.4,2.2
307,1.8,2.2
308,2.2,2.4
309,2.2,2.8
310,2.4,3.2
311,2.8,3.2
312,3.2,3.4
313,3.2,3.8
314,3.4,4.2
315,3.8,4.2
316,4.2,4.4
317,4.2,4.8
318,4.4,5.2
319,4.8,5.2
320,5.2,5.4
321,5.2,5.8
322,5.4,6.2
323,5.8,6.2
324,6.2,6.4
325,6.2,6.8
326,6.4,7.2
327,6.8,7.2
328,7.2,7.4
329,7.2,7.8
330,7.4,8.2
331,7.8,8.2
332,8.2,8.4
333,8.2,8.8
334,8.4,9.2
335,8.8,9.2
336,9.2,9.4
337,9.2,9.8
338,9.4,10.2
339,9.8,10.2
340,10.2,10.4
341,10.2,10.8
342,10.4,11.2
343,10.8,11.2
344,11.2,11.4
345,11.2,11.8
346,11.4,12.2
347,11.8,12.2
348,12.2,12.4
349,12.2,12.8
350,12.4,13.2
351,12.8,13.2
352,13.2,13.4
353,13.2,13.8
354,13.4,14.2
355,13.8,14.2
356,14.2,14.4
357,14.2,14.8
358,14.4,15.2
359,14.8,15.2
360,15.2,15.4
361,15.2,15.8
362,15.4,16.2
363,15.8,16.2
364,16.2,16.4
365,16.2,16.8
366,16.4,17.2
367,16.8,17.2
368,17.2,17.4
369,17.2,17.8
370,17.4,18.2
371,17.8,18.2
372,18.2,18.4
373,18.2,18.8
374,18.4,19.2
375,18.8,19.2
376,19.2,19.4
377,19.2,19.8
378,19.4,20.2
379,19.8,20.2
380,20.2,20.4
381,20.2,20.8
382,20.4,21.2
383,20.8,21.2
384,21.2,21.4
385,21.2,21.8
386,21.4,22.2
387,21.8,22.2
388,22.2,22.4
389,22.2,22.8
390,22.4,23.2
391,22.8,23.2
392,23.2,23.4
393,23.2,23.8
394,23.4,24.2
395,23.8,24.2
396,24.2,24.4
